Item,Qty,Required,Preferred part / search term,Australian source examples,Substitution notes,Why it is needed
ESP32-S3 development board,1,Yes,ESP32-S3-DevKitC-1 USB-C WROOM-1 N8,"Core Electronics: https://core-electronics.com.au/esp32-s3-devkitc-1-development-board.html | Little Bird: https://littlebirdelectronics.com.au/products/esp32-s3-devkitc-1-development-board | Maker Store: https://www.makerstore.com.au/product/esp32-s3-devkitc-1/","Must be ESP32-S3 with exposed GPIO4/GPIO5 and USB programming. Avoid plain ESP32/C3/C6 for this firmware unless board config is changed.","Runs the logger firmware, stores data, and provides BLE upload."
Servo Y-lead JR/Futaba,2,Yes,JR or Futaba servo Y lead 15-30 cm,"XC-RC JR 15 cm: https://www.xc-rc.com.au/index.php?main_page=product_info&products_id=4315 | XC-RC JR 30 cm: https://www.xc-rc.com.au/index.php?main_page=product_info&products_id=543 | RC Wholesale Futaba Y leads: https://www.rcwholesale.com.au/futaba/futaba-servo-extension-cords/y-lead-servo-extension-cords/","Any standard 3-wire RC servo Y-lead is acceptable if it matches the receiver/servo/ESC connector orientation.","Creates passive steering and throttle/brake taps without putting logger in the control path."
Servo extension lead JR/Futaba,2-4,Yes,150 mm servo extension lead male-female,"Hobbies Direct: https://hobbiesdirect.com.au/products/hobbies-direct-150mm-futaba-j-extension-lead-720218-23627 | RC Box: https://rcbox.com.au/products/servo-extension-cable | Wired RC: https://wiredrc.com.au/index.php/product/dualsky-servo-extension-lead-150mm-heavy-duty-twisted/","Buy extras for splicing/strain relief. Match connector style to car receiver and servo/ESC.","Provides clean pigtails for the logger branch and makes rework easier."
10 kΩ resistor,2 plus spares,Yes,10k 1/4 W metal film resistor,"Resistor World kit: https://www.resistorworld.com.au/resistors-value-pack-resistors-kit | Core Electronics resistor kit: https://core-electronics.com.au/catalog/product/view/sku/CE05092 | GaliGear kit: https://www.galigear.com.au/product/resistors-kit-pack-640-values-set-includes-10-resistors-each/","1/8 W or 1/4 W is fine. 1% or 5% tolerance is fine for prototype.","Top resistor in each 5 V to ~3 V PWM divider."
15 kΩ resistor,2 plus spares,Yes,15k 1/4 W metal film resistor,"Resistor World kit: https://www.resistorworld.com.au/resistors-value-pack-resistors-kit | GaliGear kit: https://www.galigear.com.au/product/resistors-kit-pack-640-values-set-includes-10-resistors-each/","If unavailable, 18k or 20k can work but update expected divider voltage. Prefer 15k to match docs.","Bottom resistor in each PWM divider to protect ESP32 GPIO."
Dupont jumper wire pack,1,Yes,Male-female and female-female jumper wires,"Core M/F: https://core-electronics.com.au/male-to-female-dupont-line-40-pin-30cm-24awg.html | Core F/F: https://core-electronics.com.au/solderless-breadboard-jumper-cable-wires-female-female-40-pieces.html","Pre-crimped servo/JST leads are also fine if builder prefers soldered harnesses.","Connects divider outputs and ground to ESP32 dev board pins."
USB data cable,1,Yes,USB cable matching ESP32 dev board,"Local electronics store, Jaycar, office supplier, existing cable","Must support data, not charge-only.","Build/upload firmware and optionally power prototype."
USB power bank,1,Recommended,Small USB power bank,"Any local retailer","Laptop USB is fine for bench. Power bank is safer for vehicle tests.","Powers ESP32 independently for first vehicle tests."
Servo tester / PWM generator,1,Recommended,4.8-6 V RC servo tester,"Tempero: https://temperosystems.com.au/products/4-8-6v-multi-servo-tester/ | Hobbyrama: https://www.hobbyrama.com.au/radio-control/electronics/servos-parts-servo-access/simple-servo-tester | The Joy Box: https://thejoybox.com.au/products/3-modes-digital-servo-tester","A spare RC receiver/transmitter can substitute. A signal generator or second MCU can also substitute.","Bench-tests PWM capture before plugging into the car."
Heatshrink assortment,1,Yes,Small heatshrink tube assortment,"Jaycar, Core Electronics, Bunnings/electrical suppliers","Electrical tape is not preferred for final harness; use heatshrink where possible.","Insulates divider joints and prevents shorts."
Small enclosure,1,Recommended,Small plastic project box,"Core project box: https://core-electronics.com.au/project-box-1.html | Core weatherproof box: https://core-electronics.com.au/small-plastic-project-enclosure-weatherproof-with-clear-top.html | Jaycar plastic boxes: https://www.jaycar.com.au/tools-test-equipment/enclosures-panel-hardware/plastic-boxes/c/7HA","Heatshrink/foam tape is acceptable for bench only. Use an enclosure for car tests.","Protects ESP32 and solder joints in vehicle."
Double-sided foam tape / Velcro,1,Recommended,Automotive double-sided tape or hook-and-loop,"Bunnings, Jaycar, hobby stores","Zip ties are okay if no wire strain is introduced.","Mounts prototype in car without loose wires."
Multimeter,1,Yes,Continuity + voltage measurement multimeter,"Existing tool, Jaycar, Core Electronics","Any basic meter is fine.","Verifies ground continuity, no shorts, and divider output voltage."
Logic analyzer or oscilloscope,1,Optional,Low-cost USB logic analyzer or scope,"Core Electronics, Jaycar, Amazon AU","Optional but ideal for verifying no delay and pulse widths.","Confirms passive tap does not alter receiver-to-servo timing."
